sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments
88186,lung_cancer,163.94,165.0,21.71,23.84,74.93,137.0,150.0,176.0,190.0,500000
88187,lung_cancer,162.91,164.0,20.09,23.57,75.69,138.0,150.0,174.0,186.0,500000
88188,lung_cancer,163.13,165.0,19.89,22.68,76.68,138.0,151.0,175.0,186.0,500000
88189,lung_cancer,162.5,164.0,20.8,24.08,75.19,136.0,150.0,175.0,186.0,500000
88190,lung_cancer,168.08,168.0,18.91,14.77,84.17,145.0,157.0,178.0,191.0,500000
88191,lung_cancer,165.76,166.0,18.93,18.12,81.12,142.0,154.0,176.0,188.0,500000
88193,lung_cancer,162.36,164.0,18.13,21.06,78.49,140.0,152.0,172.0,182.0,500000
88194,lung_cancer,164.18,166.0,22.57,23.12,75.56,136.0,151.0,177.0,190.0,500000
88195,lung_cancer,163.79,164.0,19.14,20.03,79.23,141.0,153.0,174.0,186.0,500000
88196,lung_cancer,163.61,164.0,19.94,21.5,77.75,139.0,152.0,175.0,187.0,500000
88197,lung_cancer,165.57,165.0,20.81,19.88,78.85,140.0,153.0,177.0,191.0,500000
88198,lung_cancer,161.61,163.0,18.26,22.95,76.49,139.0,151.0,171.0,182.0,500000
88199,lung_cancer,160.4,163.0,20.43,26.16,73.13,134.0,149.0,172.0,182.0,500000
88200,lung_cancer,160.09,163.0,19.99,26.27,73.19,135.0,149.0,172.0,181.0,500000
88201,lung_cancer,163.22,164.0,19.19,22.16,77.16,139.0,151.0,174.0,185.0,500000
88202,lung_cancer,168.61,168.0,18.89,13.75,85.17,145.0,158.0,179.0,191.0,500000
88203,lung_cancer,165.87,166.0,17.89,16.29,83.14,143.0,156.0,176.0,187.0,500000
88204,lung_cancer,165.9,166.0,19.23,17.7,81.36,142.0,155.0,176.0,188.0,500000
88205,lung_cancer,164.41,165.0,18.53,19.09,80.32,141.0,154.0,175.0,186.0,500000
88206,lung_cancer,158.69,163.0,22.57,28.03,71.25,127.0,147.0,172.0,182.0,500000
88207,lung_cancer,161.23,164.0,21.58,25.3,73.89,134.0,149.0,173.0,185.0,500000
88208,lung_cancer,161.6,163.0,17.42,22.38,77.26,140.0,151.0,171.0,181.0,500000
88209,lung_cancer,155.84,158.0,22.67,36.9,62.3,127.0,142.0,169.0,181.0,500000
88210,lung_cancer,165.0,166.0,18.55,17.64,81.74,142.0,155.0,175.0,186.0,500000
88211,lung_cancer,162.53,164.0,19.85,22.97,76.23,138.0,151.0,174.0,185.0,500000
88212,lung_cancer,161.14,163.0,23.03,27.39,71.34,132.0,148.0,174.0,186.0,500000
88213,lung_cancer,164.85,166.0,18.18,17.91,81.56,142.0,155.0,175.0,186.0,500000
88214,lung_cancer,163.01,164.0,17.86,20.76,78.83,141.0,152.0,173.0,183.0,500000
88215,lung_cancer,166.71,167.0,18.24,15.53,83.81,144.0,157.0,177.0,188.0,500000
88216,lung_cancer,164.48,165.0,18.6,19.03,80.37,141.0,154.0,175.0,186.0,500000
88217,lung_cancer,157.4,160.0,16.5,28.83,71.06,137.0,147.0,167.0,175.0,500000
88218,lung_cancer,158.09,160.0,15.97,26.47,73.47,138.0,149.0,168.0,175.0,500000
88219,lung_cancer,158.03,160.0,16.39,27.41,72.49,137.0,148.0,168.0,176.0,500000
88220,lung_cancer,167.48,167.0,19.08,15.54,83.5,144.0,157.0,178.0,190.0,500000
88221,lung_cancer,165.01,166.0,18.73,18.54,80.78,142.0,154.0,175.0,187.0,500000
