sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments,genome_bin_short_frac_std,genome_bin_short_frac_mean,motif_A_frac,motif_C_frac,motif_G_frac,motif_T_frac
88211,lung_cancer,162.55,164.0,19.82,22.91,76.28,138.0,151.0,173.0,185.0,5000000,0.019,0.2233,,,,
88212,lung_cancer,161.16,163.0,23.06,27.35,71.36,132.0,148.0,174.0,186.0,5000000,0.0185,0.2693,,,,
88213,lung_cancer,164.83,166.0,18.16,17.95,81.53,142.0,155.0,175.0,186.0,5000000,0.0205,0.173,,,,
88214,lung_cancer,163.02,164.0,17.86,20.75,78.83,141.0,152.0,173.0,183.0,5000000,0.0222,0.2004,,,,
88215,lung_cancer,166.74,167.0,18.23,15.45,83.88,144.0,157.0,177.0,188.0,5000000,0.0194,0.1488,,,,
88216,lung_cancer,164.47,165.0,18.58,19.11,80.31,141.0,154.0,175.0,186.0,5000000,0.0213,0.1843,,,,
88217,lung_cancer,157.41,160.0,16.51,28.73,71.17,137.0,147.0,167.0,175.0,5000000,0.0215,0.2816,,,,
88218,lung_cancer,158.08,160.0,15.99,26.5,73.43,138.0,149.0,168.0,175.0,5000000,0.0212,0.2591,,,,
88219,lung_cancer,158.06,160.0,16.39,27.33,72.57,137.0,148.0,168.0,176.0,5000000,0.0215,0.2671,,,,
88220,lung_cancer,167.48,167.0,19.07,15.52,83.51,144.0,157.0,178.0,190.0,5000000,0.0196,0.1498,,,,
88221,lung_cancer,165.0,166.0,18.72,18.56,80.76,142.0,154.0,175.0,187.0,5000000,0.0207,0.1797,,,,
88222,lung_cancer,163.66,165.0,18.42,20.33,79.16,141.0,153.0,174.0,185.0,5000000,0.0197,0.198,,,,
88223,lung_cancer,164.59,165.0,19.03,19.8,79.35,141.0,153.0,175.0,186.0,5000000,0.0195,0.1924,,,,
88224,lung_cancer,164.18,165.0,18.07,19.16,80.35,142.0,153.0,174.0,185.0,5000000,0.0202,0.1862,,,,
88225,lung_cancer,165.03,166.0,19.56,19.29,79.87,141.0,154.0,176.0,188.0,5000000,0.0198,0.1873,,,,
88226,lung_cancer,163.98,165.0,18.94,20.14,79.13,141.0,153.0,174.0,186.0,5000000,0.0194,0.1959,,,,
88227,lung_cancer,165.18,166.0,20.6,20.23,78.75,140.0,153.0,177.0,189.0,5000000,0.0203,0.1964,,,,
88228,lung_cancer,165.08,166.0,17.82,17.01,82.48,143.0,155.0,175.0,186.0,5000000,0.0193,0.1643,,,,
88229,lung_cancer,167.24,167.0,20.16,16.9,81.94,142.0,156.0,178.0,191.0,5000000,0.019,0.1645,,,,
88230,lung_cancer,166.76,167.0,19.22,16.53,82.61,143.0,156.0,177.0,189.0,5000000,0.0182,0.1607,,,,
88231,lung_cancer,165.13,166.0,18.99,18.53,80.8,142.0,154.0,176.0,187.0,5000000,0.0195,0.1801,,,,
88232,lung_cancer,165.86,167.0,18.93,17.59,81.7,142.0,155.0,176.0,188.0,5000000,0.0196,0.1706,,,,
88233,lung_cancer,165.54,166.0,18.76,17.75,81.62,142.0,155.0,176.0,188.0,5000000,0.0183,0.1726,,,,
88234,lung_cancer,163.93,165.0,19.31,20.78,78.64,140.0,153.0,175.0,186.0,5000000,0.0188,0.2034,,,,
88235,lung_cancer,165.27,166.0,19.55,19.11,80.19,141.0,154.0,176.0,188.0,5000000,0.0194,0.1857,,,,
88236,lung_cancer,165.03,166.0,20.12,20.03,79.19,140.0,153.0,177.0,189.0,5000000,0.0194,0.195,,,,
88237,lung_cancer,167.09,167.0,26.35,22.12,74.25,135.0,152.0,180.0,197.0,5000000,0.0209,0.2148,,,,
88238,lung_cancer,166.53,167.0,21.07,18.29,80.26,141.0,155.0,178.0,191.0,5000000,0.0228,0.1797,,,,
88239,lung_cancer,166.79,167.0,20.99,18.31,80.4,141.0,155.0,178.0,191.0,5000000,0.0208,0.1764,,,,
88240,lung_cancer,168.04,168.0,19.2,15.05,84.0,144.0,158.0,178.0,191.0,5000000,0.0186,0.1452,,,,
88241,lung_cancer,166.77,167.0,19.41,16.5,82.61,143.0,156.0,177.0,189.0,5000000,0.0193,0.1594,,,,
